City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
0,Meulaboh,ID,83.48,4.1363,96.1285,broken clouds,Kost Pria
4,Namibe,AO,70.86,-15.1961,12.1522,overcast clouds,Hotel Chik Chik Namibe
5,Saint-Joseph,RE,79.11,-21.3667,55.6167,clear sky,"""Plantation Bed and Breakfast"
7,Hilo,US,74.25,19.7297,-155.09,clear sky,Hilo Hawaiian Hotel
8,Bluff,NZ,67.8,-46.6,168.3333,overcast clouds,Bluff Homestead - Guesthouse & Campervan Park
20,Pringsewu,ID,81.7,-5.3582,104.9744,light rain,Urban Style by Front One
21,Bataipora,BR,71.35,-22.2953,-53.2711,overcast clouds,Hotel Vale do Ivinhema
23,New Norfolk,AU,72.91,-42.7826,147.0587,overcast clouds,The Shingles Riverside Cottages
25,Sarangani,PH,82.29,5.4033,125.4636,broken clouds,Ballistic Islet
28,Domoni,KM,79.25,-12.2569,44.5319,broken clouds,Al Djadid
29,Rikitea,PF,77.86,-23.1203,-134.9692,overcast clouds,People ThankYou
30,Hithadhoo,MV,80.87,-0.6,73.0833,scattered clouds,Scoop Guest House
33,Cayenne,GF,74.08,4.9333,-52.3333,overcast clouds,Hôtel Le Dronmi
39,Mahates,CO,74.34,10.2329,-75.1899,scattered clouds,Hotel La Embajada
40,Oranjestad,AW,78.21,12.524,-70.027,broken clouds,Divi Village Golf & Beach Resort
43,Mar Del Plata,AR,65.08,-38.0023,-57.5575,clear sky,Gran Hotel Mar del Plata
52,Port Moresby,PG,84.94,-9.4431,147.1797,overcast clouds,Lamana Hotel (Port Moresby)
55,Kapaa,US,78.78,22.0752,-159.319,scattered clouds,Sheraton Kauai Coconut Beach Resort
56,Mataura,NZ,68.49,-46.1927,168.8643,broken clouds,Ellie's Villa
60,Atuona,PF,77.67,-9.8,-139.0333,clear sky,Villa Enata
65,Lorengau,PG,82.08,-2.0226,147.2712,overcast clouds,Lorengau Harbourside Hotel
68,Mahebourg,MU,84.25,-20.4081,57.7,clear sky,Shandrani Beachcomber Resort & Spa
70,Faanui,PF,80.91,-16.4833,-151.75,moderate rain,Bora-Bora Pearl Beach Resort & Spa
71,Cidreira,BR,69.39,-30.1811,-50.2056,few clouds,Hotel Castelo
74,San Policarpo,PH,81.39,12.1791,125.5072,overcast clouds,Agapita M. Nicart
76,Dunedin,NZ,69.8,-45.8742,170.5036,overcast clouds,Scenic Hotel Southern Cross
77,Salalah,OM,71.46,17.0151,54.0924,few clouds,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
85,Codrington,AU,66.25,-38.2667,141.9667,overcast clouds,Codrington Gardens Bed And Breakfast
88,Hobart,AU,73.27,-42.8794,147.3294,broken clouds,Mantra on Collins Hobart
91,Port Lincoln,AU,72.73,-34.7333,135.8667,broken clouds,Port Lincoln Hotel
92,Saint-Philippe,RE,80.11,-21.3585,55.7679,clear sky,"Chambres d'hôte ""La Trinité"""
95,East London,ZA,65.64,-33.0153,27.9116,clear sky,Tu Casa
97,Touros,BR,76.44,-5.1989,-35.4608,moderate rain,INN NEW HORIZON
100,Finschhafen,PG,81.23,-6.6024,147.8681,light rain,Cossam Guest House
103,Buchanan,LR,78.8,5.8808,-10.0467,light rain,Kamaneahn Hotel Inc
105,Namatanai,PG,84.92,-3.6667,152.4333,light rain,Seagulls Inn Namatani
109,Kyaikkami,MM,80.2,16.08,97.5675,scattered clouds,St. joseph catholic church
110,Upata,VE,71.19,8.0086,-62.3989,scattered clouds,Posada Villa Nela
111,Itarema,BR,73.74,-2.9248,-39.9167,overcast clouds,"Sea Lounge! Bar, Club & Restaurant"
113,Sur,OM,71.38,22.5667,59.5289,clear sky,Sur Plaza Hotel
116,Tabou,CI,78.53,4.423,-7.3528,broken clouds,hotêl doufoulougou
118,Kahului,US,77.02,20.8947,-156.47,clear sky,Maui Seaside Hotel
119,Alofi,NU,82.51,-19.0595,-169.9187,light rain,Taloa Heights
121,Campos Belos,BR,65.73,-13.0367,-46.7717,overcast clouds,Pousada Carnaúba
125,Madang,PG,77.5,-5.2246,145.7966,overcast clouds,Comfort Inn Hotel
127,Port Alfred,ZA,66.45,-33.5906,26.891,light rain,The Halyards Hotel
131,Rio Grande,BR,67.95,-32.035,-52.0986,clear sky,Hotel Atlântico Rio Grande
133,Acapulco,MX,78.62,16.8634,-99.8901,scattered clouds,HS Hotsson Smart Acapulco
136,Matara,LK,82.63,5.9485,80.5353,few clouds,Amaloh Boutique Resort
137,Butaritari,KI,81.64,3.0707,172.7902,broken clouds,Isles Sunset Lodge
143,Ahipara,NZ,74.93,-35.1667,173.1667,overcast clouds,Ahipara Holiday Park
152,Puerto Ayora,EC,73.54,-0.7393,-90.3518,broken clouds,Finch Bay Galapagos Hotel
156,Panama City,PA,77.16,8.9936,-79.5197,few clouds,Riande Urban Hotel
160,Quatre Cocos,MU,84.09,-20.2078,57.7625,clear sky,Sunrise Attitude Hotel
162,Bambous Virieux,MU,84.22,-20.3428,57.7575,clear sky,Casa Tia Villa
164,Atar,MR,69.62,20.5169,-13.0499,overcast clouds,Oumou Elghoura
169,Pochutla,MX,76.82,15.7432,-96.4661,clear sky,Hotel Posada San Jose
170,Bengkulu,ID,82.81,-3.8004,102.2655,moderate rain,Grage Hotel Bengkulu
176,Cabo San Lucas,MX,67.95,22.8909,-109.9124,clear sky,Hotel Tesoro Los Cabos
178,Guarapari,BR,78.69,-20.6667,-40.4975,overcast clouds,Hotel Porto do Sol
183,Antalaha,MG,75.36,-14.9003,50.2788,overcast clouds,Hotel Vitasoa
186,Souillac,MU,84.36,-20.5167,57.5167,clear sky,Shanti Maurice Resort & Spa
187,Isiolo,KE,67.68,0.3546,37.5822,broken clouds,Gaddisa Hotel
188,Avarua,CK,82.45,-21.2078,-159.775,scattered clouds,Paradise Inn
190,Saint-Pierre,RE,80.19,-21.3393,55.4781,clear sky,Lindsey Hôtel
194,Kavieng,PG,83.28,-2.5744,150.7967,light rain,Nusa Island Retreat
196,Bandarbeyla,SO,72.77,9.4942,50.8122,light rain,JABIR HOTEL
197,Kalmunai,LK,80.65,7.4167,81.8167,scattered clouds,VS Villa
202,Ballina,AU,84.38,-28.8667,153.5667,few clouds,Ramada Hotel & Suites by Wyndham Ballina Byron
207,Acari,PE,70.93,-15.4311,-74.6158,scattered clouds,HOSPEDAJE XIMENA
210,Tuatapere,NZ,68.83,-46.1333,167.6833,overcast clouds,Ron and Tony's Bed & Breakfast
214,Victoria,HK,70.97,22.2855,114.1577,overcast clouds,Mini Hotel Central
216,Wonthaggi,AU,75.06,-38.6044,145.5913,scattered clouds,Wonthaggi Caravans & Trailers
218,Tairua,NZ,72.09,-37.0167,175.85,broken clouds,Pacific Harbour Villas
220,Arraial Do Cabo,BR,75.6,-22.9661,-42.0278,overcast clouds,Pousada Porto Praia
228,Vaini,TO,82.69,-21.2,-175.2,light rain,Keleti Beach Resort
229,Nova Olinda Do Norte,BR,73.76,-3.8881,-59.0942,light rain,Casa Juazeiro
230,Barreirinhas,BR,73.94,-2.7469,-42.8264,overcast clouds,Gran Lençóis Flat Residence
231,Port Elizabeth,ZA,65.1,-33.918,25.5701,overcast clouds,39 On Nile Guest House
232,Cravo Norte,CO,79.34,6.3017,-70.2041,broken clouds,Hotel Potosí Los Mirtos
234,Guerrero Negro,MX,65.1,27.9769,-114.0611,clear sky,"Casa Laguna, Bed & Breakfast"
240,Sagua La Grande,CU,67.19,22.8067,-80.0756,overcast clouds,Hotel Telégrafo
