City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Meulaboh,ID,4.1363,96.1285,83.48,76,70,3.89,broken clouds
1,Khatanga,RU,71.9667,102.5,-6.86,96,100,6.67,overcast clouds
2,Kodiak,US,57.79,-152.4072,26.11,74,100,19.57,light snow
3,Punta Arenas,CL,-53.15,-70.9167,59.11,44,100,5.99,overcast clouds
4,Namibe,AO,-15.1961,12.1522,70.86,83,100,6.26,overcast clouds
5,Saint-Joseph,RE,-21.3667,55.6167,79.11,71,0,7.0,clear sky
6,Sezemice,CZ,50.0665,15.8527,36.41,67,0,3.0,clear sky
7,Hilo,US,19.7297,-155.09,74.25,86,4,3.0,clear sky
8,Bluff,NZ,-46.6,168.3333,67.8,63,91,8.05,overcast clouds
9,Asosa,ET,10.0667,34.5333,58.93,49,0,6.2,clear sky
10,Santa Barbara,US,34.7333,-120.0343,54.41,47,0,4.61,clear sky
11,Bredasdorp,ZA,-34.5322,20.0403,59.29,75,52,6.4,broken clouds
12,Morales,CO,2.757,-76.6172,60.37,97,99,1.63,overcast clouds
13,Hermanus,ZA,-34.4187,19.2345,59.81,81,35,11.9,scattered clouds
14,Lamesa,US,32.7376,-101.951,33.06,35,0,9.26,clear sky
15,Deputatskiy,RU,69.3,139.9,-22.29,97,85,1.79,overcast clouds
16,Geraldton,AU,-28.7667,114.6,100.81,28,0,14.97,clear sky
17,Ilulissat,GL,69.2167,-51.1,21.22,49,100,19.57,overcast clouds
18,Barrow,US,71.2906,-156.7887,-5.78,77,100,17.27,overcast clouds
19,Ribeira Grande,PT,38.5167,-28.7,58.33,61,44,6.96,scattered clouds
20,Pringsewu,ID,-5.3582,104.9744,81.7,75,100,2.98,light rain
21,Bataipora,BR,-22.2953,-53.2711,71.35,99,100,5.14,overcast clouds
22,Airai,TL,-8.9266,125.4092,72.45,60,100,5.64,overcast clouds
23,New Norfolk,AU,-42.7826,147.0587,72.91,50,99,3.0,overcast clouds
24,Odweyne,SO,9.4092,45.064,61.39,47,64,10.11,broken clouds
25,Sarangani,PH,5.4033,125.4636,82.29,75,78,10.11,broken clouds
26,Chokurdakh,RU,70.6333,147.9167,-24.2,92,93,0.89,overcast clouds
